solvent,solv_mass
45,74.09
9,120.03
46,102.15000000000003
5,58.139999999999986
20,100.23000000000003
12,56.11999999999999
18,72.17
40,74.14
11,84.93
26,60.10999999999999
27,131.29
41,74.14
14,84.18000000000002
25,46.08
1,44.01
7,42.089999999999996
37,188.03
43,58.08999999999998
28,44.019999999999996
3,58.139999999999986
19,86.20000000000002
30,72.17
22,18.020000000000003
42,74.14
8,66.06
17,39.95
38,28.009999999999998
16,32.0
23,92.15000000000003
15,44.11
39,60.10999999999999
21,30.080000000000002
2,16.05
35,88.00999999999999
6,102.04
32,86.47
24,32.05
29,83.8
44,72.12
34,2.02
31,64.07
10,28.02
4,100.5
36,138.01999999999998
33,64.04
13,28.060000000000006
47,114.26000000000005
48,70.15000000000002
49,84.18000000000006
50,78.12
51,106.18000000000004
52,106.18000000000005
53,74.14000000000001
54,88.12000000000003
55,123.12000000000003
56,88.17000000000003
57,102.20000000000005
58,98.96000000000001
59,119.37
60,72.12000000000003
61,106.18000000000005
62,128.29000000000008
64,34.089999999999996
65,54.099999999999994
66,44.06
67,90.09
68,146.07
69,153.81
70,72.0572941805954
71,124.047841189974
72,74.0502935761814
73,116.077189552114
74,67.4927964814074
75,70.968
76,4.0
77,20.1871187118712
78,26.0224977352287
79,114.091490715949
80,88.0543918618784
81,86.0613924662924
82,102.073091266417
83,61.0239467446048
84,86.0540919068716
